,0
MINNESOTA,0.19348861177266086
ARIZONA,0.1845199706774172
KENTUCKY,0.17199023658393783
CALIFORNIA,0.12617657774561267
IDAHO,0.05260259840702682
MONTANA,0.04441637162195722
NORTH DAKOTA,0.0423428790522903
NEVADA,0.03319391085553155
CONNECTICUT,0.024628685852772798
MARYLAND,0.02393321947594393
MAINE,0.022844541382547316
LOUISIANA,0.01872708893983138
MASSACHUSETTS,0.011503766254513622
TEXAS,0.0114224233264794
NORTH CAROLINA,0.00971434975607074
ALASKA,0.00882998729944883
NEW YORK,0.005646623662252039
NEBRASKA,0.004904254483809805
DELAWARE,0.002675202068090428
PENNSYLVANIA,0.0013952092128818167
HAWAII,0.0013635780278409696
RHODE ISLAND,0.0011001554744500361
OHIO,0.0006720643199214599
INDIANA,0.00054802200015104
UTAH,0.0004113574051720167
TENNESSEE,0.0004076248701613978
DISTRICT OF COLUMBIA,0.0002580887571147121
COLORADO,0.00016801680394105202
WISCONSIN,4.1651642528757845e-05
MISSISSIPPI,2.991298365796283e-05
WEST VIRGINIA,2.7957402051901117e-05
WASHINGTON,1.506188191584639e-05
ALABAMA,2.693928573898749e-15
OREGON,2.0953746863758463e-15
ILLINOIS,2.0885609782756905e-15
WYOMING,1.8381118245256834e-15
SOUTH DAKOTA,1.3834626821107406e-15
VERMONT,1.2527955939496721e-15
VIRGINIA,9.741669523030701e-16
NEW HAMPSHIRE,9.55960075980331e-16
KANSAS,8.707672103985461e-16
OKLAHOMA,7.48640195454085e-16
IOWA,6.436836458749758e-16
NEW JERSEY,6.322328149342996e-16
NEW MEXICO,2.3659014511946854e-16
