mo_yr,date,treated,synthetic_baseline,gap_centered_baseline,synthetic_topology_augmented,gap_centered_topology_augmented
397,2009-01-01,3.099999523800001,3.0016573638454407,0.0596536506579192,2.8801987330417087,0.20959694725683517
398,2009-02-01,3.6399999616,3.3589298751898355,0.2423815771135233,3.352177444834701,0.277618673263842
399,2009-03-01,3.5400002482,3.645785260430833,-0.1444735215274739,3.5237092616539183,0.006087143044624625
400,2009-04-01,3.11999979,3.756569101085319,-0.6752578203819606,3.4838048196991376,-0.3740088732005948
401,2009-05-01,3.9199999808,4.038466533845817,-0.157155062342458,3.9829361293329986,-0.07313999203445568
402,2009-06-01,4.0199997898,4.050593472397886,-0.0692821918945274,4.0697231504935605,-0.059927204195017764
403,2009-07-01,4.0999998092,4.095063963823667,-0.033752663920308,4.201402183533592,-0.11160621783504912
404,2009-08-01,4.279999828399999,4.188319033325536,0.0529922857778222,4.2683181840460644,0.0014778008524776991
405,2009-09-01,4.2999995236,4.192424499791279,0.0688865145120798,4.276879907654362,0.01291577244418071
406,2009-10-01,4.339999865999999,4.169559326031814,0.1317520306715447,4.30599321543787,0.023802807060672032
407,2009-11-01,4.1200002674,3.864394100926933,0.2169176571764264,4.116175558555134,-0.006379134656591042
408,2009-12-01,4.299999714400001,4.158882748897846,0.1024284562055137,4.327726839331571,-0.03793096843302682
409,2010-01-01,4.500000094800001,4.552211147565137,-0.0908995620617771,4.501288180521423,-0.011491929222879812
410,2010-02-01,4.6399999616,4.694292689286737,-0.092981236983378,4.598920691647928,0.03087542645061489
411,2010-03-01,4.439999867199999,4.389373875489196,0.0119374824141622,4.411337229672408,0.018458794026134123
412,2010-04-01,4.220000172000001,4.15712981431921,0.0241818483841498,4.164757807488827,0.0450385210097167
413,2010-05-01,4.020000361799999,4.053069536421662,-0.0717576839183034,4.137387344767096,-0.12759082646855405
414,2010-06-01,3.819999980800001,3.830304629741946,-0.0489931582385867,3.9404185505267213,-0.1306224132281776
415,2010-07-01,4.200000191200001,3.94389686961356,0.2174148122898003,4.1851413494870044,0.004654998211539222
416,2010-08-01,4.279999828399999,4.045142346181851,0.1961689729215068,4.1834129202658294,0.0863830646327127
417,2010-09-01,4.099999713599999,4.024249246264933,0.0370619580384248,4.060796532487663,0.02899933761087911
418,2010-10-01,4.140000057,3.931609478765577,0.1697020689377815,3.9964158528702294,0.13338036062831335
419,2010-11-01,4.1200002674,3.917879912775968,0.1634318453273915,4.0103794532418915,0.09941697065665131
420,2010-12-01,4.0999999044,3.832407277524223,0.2289041175791355,3.9717269011566523,0.11806915974189022
421,2011-01-01,4.000000095800001,4.051855857814744,-0.0905442713113837,3.9263960330841416,0.06340021921440195
422,2011-02-01,3.8399997706,3.913775257009228,-0.1124639957058699,3.797226629998992,0.03256929709955089
423,2011-03-01,3.340000438199999,3.637566038624513,-0.3362541097211549,3.5898443286292316,-0.2600477339306901
424,2011-04-01,3.2200001720000007,3.515075737602669,-0.3337640748993096,3.494793506368184,-0.28499717786964046
425,2011-05-01,3.319999599800001,3.627186910514017,-0.3458758200106573,3.5884090162384075,-0.2786132599398638
426,2011-06-01,3.2199995998000013,3.5588253477712306,-0.3775142572678704,3.6714371762177174,-0.46164141991917335
427,2011-07-01,3.0000003812,3.607358434693442,-0.6460465627900838,3.8447743012408298,-0.8549777635422869
428,2011-08-01,3.3800002104000004,3.558593071999629,-0.2172813708962697,3.5892750782022134,-0.21947871130367017
429,2011-09-01,3.0000002855999988,3.5867556374416094,-0.6254438611382518,3.4561003746287033,-0.46630393253016184
430,2011-10-01,2.739999962,3.323826948053327,-0.6225154953499683,3.241995865842015,-0.5121997473434722
431,2011-11-01,2.0199998854,2.8873927126951866,-0.906081336591828,2.842165011105218,-0.8323689692066755
432,2011-12-01,2.2000002864,2.921187679173898,-0.7598759020705395,2.9243873190697465,-0.7345908761712038
433,2012-01-01,1.7999998098,2.818019203420816,-1.0567079029174569,2.802032264757404,-1.0122362984588613
434,2012-02-01,2.0400000566000003,2.7625655185957063,-0.7612539712923472,2.801898879073256,-0.7721026659747129
435,2012-03-01,1.8399999621999996,2.542518532448725,-0.7412070795453667,2.5646341420740386,-0.7348380233754962
436,2012-04-01,1.419999981,2.3934330091977887,-1.0121215374944297,2.365668038469161,-0.9558719009706184
437,2012-05-01,1.6199997898000005,2.5243823788527053,-0.943071098349346,2.6112842076720573,-1.001488261373514
438,2012-06-01,1.4199998858000002,2.5145044066929243,-1.1331930301895652,2.5493484064363376,-1.1395523641377947
439,2012-07-01,1.9000000002000004,2.691268771419894,-0.8299572805165354,2.7631788608001844,-0.8733827041016412
440,2012-08-01,1.7799998284000005,2.7175341600112297,-0.9762228409078706,2.6227049177972153,-0.852908932898672
441,2012-09-01,1.2000000955999992,2.5391085196675256,-1.3777969333641675,2.2844671445413733,-1.0946708924428314
442,2012-10-01,1.4400002479999996,2.457166691420676,-1.0558549527173178,2.2869748139336763,-0.8571784094351339
443,2012-11-01,1.0199998854,2.185219775216769,-1.2039083991134103,1.9704514721632005,-0.9606554302646576
444,2012-12-01,1.5000000004,2.36201040241834,-0.9006989113149813,2.1718152808289073,-0.6820191239303645
445,2013-01-01,1.7999998098,2.564724796012383,-0.8034134955090242,2.2667984972415254,-0.47700253094298256
446,2013-02-01,1.6399999616,2.3631234352651687,-0.7618119829618097,2.0504166405935162,-0.42062052249497345
447,2013-03-01,1.2400000571999996,2.208720452592668,-1.0074089046893098,1.8278338126984572,-0.5980375989999148
448,2013-04-01,1.019999886,2.175747302848806,-1.1944359261454471,1.7845484428770066,-0.7747524003784639
449,2013-05-01,1.5199998858,2.320002677521985,-0.8386913010186261,1.9492362152033935,-0.4394401729048509
450,2013-06-01,1.4199998858000002,2.347935696378429,-0.96662431987507,1.9134165607053848,-0.5036205184068417
451,2013-07-01,1.7000001912,2.2879109850874912,-0.6265993031841324,1.9270088476015697,-0.23721249990302687
452,2013-08-01,1.5800000194,2.257062521899071,-0.7157510117957122,1.8571955612332542,-0.2873993853347116
