birth,death
0.0,0.08209418505430222
0.0,0.11117934435606003
0.0,0.13617545366287231
0.0,0.15186671912670135
0.0,0.1611596643924713
0.0,0.16462963819503784
0.0,0.1825009137392044
0.0,0.2132555991411209
0.0,0.23386529088020325
0.0,0.25666987895965576
0.0,0.2810473144054413
0.0,0.3099794387817383
0.0,0.31382879614830017
0.0,0.332748144865036
0.0,0.34864509105682373
0.0,0.36388278007507324
0.0,0.37033048272132874
0.0,0.47642946243286133
0.0,0.538718044757843
0.0,0.5459368824958801
0.0,0.572081983089447
0.0,0.6609485745429993
0.0,0.7935968637466431
0.0,1.2923531532287598
0.0,1.3585337400436401
0.0,inf
