,0
MINNESOTA,0.21020806988301577
ARIZONA,0.16570762343971487
KENTUCKY,0.16303868161433022
CALIFORNIA,0.13515301295994378
IDAHO,0.07279566561413901
MONTANA,0.03988652145812363
NORTH DAKOTA,0.038024496199123306
NEVADA,0.03212384742654213
CONNECTICUT,0.02285368000593891
MARYLAND,0.021492365029594947
MAINE,0.02051471691140099
LOUISIANA,0.016817187167029832
MASSACHUSETTS,0.010330542608597575
TEXAS,0.01025750813966436
NORTH CAROLINA,0.008723621625268553
ALASKA,0.007929451799713706
DISTRICT OF COLUMBIA,0.005427285852847432
NEW YORK,0.005070746836039357
NEBRASKA,0.004404088955521957
DELAWARE,0.0024023687842380562
HAWAII,0.0023015229996881156
PENNSYLVANIA,0.0012529173405223515
RHODE ISLAND,0.0011395931990522247
OHIO,0.0006035231366035286
INDIANA,0.0004921314026864699
UTAH,0.00036940468951493076
TENNESSEE,0.00036817914887376894
COLORADO,0.00015088143427762187
WEST VIRGINIA,7.415560199973993e-05
WISCONSIN,3.740375615762893e-05
MISSISSIPPI,2.6862276700835714e-05
WASHINGTON,1.3525780118887473e-05
OREGON,6.5664673996635755e-06
OKLAHOMA,1.8504555902158045e-06
WYOMING,4.8203073545918356e-15
ILLINOIS,4.429841219239921e-15
SOUTH DAKOTA,3.318063380322711e-15
ALABAMA,2.9599384012970404e-15
VIRGINIA,2.3899574777214584e-15
NEW HAMPSHIRE,2.3419878053140653e-15
KANSAS,2.0690125288807425e-15
VERMONT,1.4829404453201252e-15
IOWA,6.666005926754278e-16
NEW JERSEY,5.677708486939086e-16
NEW MEXICO,2.690021802784864e-16
