method,lambda,treatment_start,n_pre,n_post,pre_rmspe,post_rmspe,post_pre_ratio
baseline,0.0,2011-04-01,27,29,0.19306266791219923,0.8627218472502209,4.4686104081114655
topology_augmented,2.0,2011-04-01,27,29,0.12823225502920477,0.7191624029158868,5.608280091090173
