,0
MINNESOTA,0.1963566971840925
ARIZONA,0.17367099644503767
KENTUCKY,0.17088009994449
CALIFORNIA,0.11875794205178258
IDAHO,0.07507555735071994
MONTANA,0.041804881551514815
NORTH DAKOTA,0.03985330135467529
NEVADA,0.033668858239630485
CONNECTICUT,0.023952837969778037
MARYLAND,0.02252604994064029
MAINE,0.02150138139883449
LOUISIANA,0.017626017307260527
MASSACHUSETTS,0.010827394676887972
TEXAS,0.010750847582499246
NORTH CAROLINA,0.009143188109984332
ALASKA,0.00831082233138453
DISTRICT OF COLUMBIA,0.0056883135939199
NEW YORK,0.005314626673596438
NEBRASKA,0.004615905584075234
DELAWARE,0.002517911785653427
HAWAII,0.002412215777980513
PENNSYLVANIA,0.0013131769605257983
RHODE ISLAND,0.0011944024437755972
OHIO,0.0006325498518532466
INDIANA,0.0005158006826614041
UTAH,0.00038717137331533737
TENNESSEE,0.0003836582951799024
COLORADO,0.0001581381443583887
WEST VIRGINIA,7.772214885259222e-05
WISCONSIN,3.92027065417811e-05
MISSISSIPPI,2.8154229916024697e-05
WASHINGTON,1.4176308564676012e-05
ALABAMA,2.654894491467127e-15
ILLINOIS,2.3211584848314685e-15
OREGON,2.2470775854159063e-15
WYOMING,2.0518512273150746e-15
SOUTH DAKOTA,1.4125286915328367e-15
VERMONT,1.1933419850148006e-15
NEW HAMPSHIRE,1.0574191416489896e-15
VIRGINIA,9.487294954731012e-16
KANSAS,8.422058722907333e-16
OKLAHOMA,7.556696334895918e-16
IOWA,6.949408299194214e-16
NEW JERSEY,5.950602666572398e-16
NEW MEXICO,2.819363605046242e-16
