lambda,success,status,objective_value,pre_rmspe,pre_rmspe_ratio_to_baseline,topo_h1_wasserstein_31,topo_ratio_to_baseline,l1_weight_change_from_baseline,effective_donors_gt_1e_4
0.0,True,baseline SCM solution reused,0.9999999999949213,0.19690097636368503,1.0,1.197382963477928,1.0,0.0,8
0.1,True,Optimization terminated successfully,0.7137142235502543,0.12860997631601745,0.6531708409534192,0.7249361487661596,0.6054338260004171,1.5053784427993502,28
0.25,True,Optimization terminated successfully,0.7952431583046224,0.12877137430643124,0.6539905321169391,0.6765339525910901,0.5650105047645109,1.5084677498729913,28
0.5,True,Optimization terminated successfully,0.9281882004147036,0.12811995612469784,0.6506821778682015,0.6645619673278363,0.5550120451000442,1.5300302292642185,28
1.0,True,Optimization terminated successfully,1.1955097517656024,0.12839652103569754,0.6520867666930373,0.6506854245297059,0.5434229852742517,1.5358798217797784,30
2.0,True,Optimization terminated successfully,1.7336423742007385,0.12863759035397573,0.6533110842293451,0.6467851413792702,0.540165645501263,1.5369876088932608,31
