birth,death
0.0,0.29165029525756836
0.0,0.29210972785949707
0.0,0.31427422165870667
0.0,0.3161822259426117
0.0,0.3297547698020935
0.0,0.359480619430542
0.0,0.3648655116558075
0.0,0.3841993808746338
0.0,0.3853820860385895
0.0,0.42192256450653076
0.0,0.4313972294330597
0.0,0.4668390452861786
0.0,0.4672752916812897
0.0,0.4772079288959503
0.0,0.6960294842720032
0.0,0.7143668532371521
0.0,0.7188129425048828
0.0,0.7994689345359802
0.0,1.2071815729141235
0.0,1.242475986480713
0.0,1.257481575012207
0.0,1.2679611444473267
0.0,1.4327635765075684
0.0,1.554653525352478
0.0,inf
