,0
MINNESOTA,0.2172336185290847
ARIZONA,0.16470947878668168
KENTUCKY,0.16083773976082538
CALIFORNIA,0.13331729513051682
IDAHO,0.07180691739205869
MONTANA,0.03950253121614534
NORTH DAKOTA,0.03835706186096144
NEVADA,0.031687524786164885
CONNECTICUT,0.02254326955384448
MARYLAND,0.021200444658623908
MAINE,0.02023607546068657
LOUISIANA,0.016588767469627112
MASSACHUSETTS,0.010190227858382214
TEXAS,0.010118185381221131
NORTH CAROLINA,0.008605132903458674
ALASKA,0.00782174990149454
DISTRICT OF COLUMBIA,0.0053535696611975245
NEW YORK,0.005001873340943196
NEBRASKA,0.004344270351106215
DELAWARE,0.002369738574126326
HAWAII,0.002270262528961491
PENNSYLVANIA,0.0012460347459724709
RHODE ISLAND,0.001133372481184927
OHIO,0.0006924411470833233
IOWA,0.0006875211083117682
NEW MEXICO,0.0005972165206624018
INDIANA,0.00048558038205467473
TENNESSEE,0.0003664420910727829
UTAH,0.0003644752739935747
COLORADO,0.00014883208493743198
WEST VIRGINIA,7.314838250622171e-05
WISCONSIN,3.6895719093417026e-05
MISSISSIPPI,2.649741942761913e-05
VERMONT,2.0426647076936545e-05
WASHINGTON,1.3342066009582991e-05
OREGON,6.477278260544215e-06
ALABAMA,3.6822047650855706e-06
OKLAHOMA,1.8253219158919294e-06
ILLINOIS,5.401938000133157e-08
VIRGINIA,1.0016499009215268e-13
SOUTH DAKOTA,5.4021677750236755e-14
KANSAS,1.5528791787899985e-14
WYOMING,5.168381230736887e-15
NEW HAMPSHIRE,3.4895043652474696e-15
NEW JERSEY,7.031755576396387e-16
