method,lambda,pre_rmspe,topo_h1_wasserstein_31,treatment_start,n_pre,n_post,post_rmspe,post_pre_ratio
baseline,0.0,0.19690097636368503,1.197382963477928,2011-04-01,27,29,0.8627218472502209,4.4686104081114655
topology_augmented,2.0,0.12863759035397573,0.6467851413792702,2011-04-01,27,29,0.7191624029158868,5.608280091090173
