mo_yr,date,treated,synthetic_topology_augmented,gap_centered_topology_augmented
397,2009-01-01,3.099999523800001,2.889955843326774,0.1993165418543412
398,2009-02-01,3.6399999616,3.37152644740617,0.25774637557494384
399,2009-03-01,3.5400002482,3.5570663197847203,-0.02779321020360628
400,2009-04-01,3.11999979,3.4645903493543186,-0.35531769797320467
401,2009-05-01,3.9199999808,4.104414514191556,-0.19514167201044222
402,2009-06-01,4.0199997898,4.175761069572786,-0.16648841839167242
403,2009-07-01,4.0999998092,4.2335548478775555,-0.1442821772964418
404,2009-08-01,4.279999828399999,4.25064730553778,0.018625384243333463
405,2009-09-01,4.2999995236,4.281312088097203,0.007960296883911176
406,2009-10-01,4.339999865999999,4.252671022998021,0.07660170438309263
407,2009-11-01,4.1200002674,4.046510997214921,0.06276213156619301
408,2009-12-01,4.299999714400001,4.351508519013264,-0.06223594323214934
409,2010-01-01,4.500000094800001,4.489791935537714,-0.000518979356599638
410,2010-02-01,4.6399999616,4.562755445820086,0.0665173771610281
411,2010-03-01,4.439999867199999,4.403780168122382,0.025492560458731026
412,2010-04-01,4.220000172000001,4.210369975893734,-0.0010969425126192943
413,2010-05-01,4.020000361799999,4.162826893080013,-0.1535536698989002
414,2010-06-01,3.819999980800001,3.9716678004598194,-0.16239495827870457
415,2010-07-01,4.200000191200001,4.111085358868028,0.07818769371308695
416,2010-08-01,4.279999828399999,4.135854942250506,0.13341774753060706
417,2010-09-01,4.099999713599999,4.007302847102852,0.08196972787826093
418,2010-10-01,4.140000057,3.9492815671033927,0.17999135127772112
419,2010-11-01,4.1200002674,3.9689193481063922,0.14035378067472168
420,2010-12-01,4.0999999044,3.971506488454493,0.11776627732662057
421,2011-01-01,4.000000095800001,3.9105015264561884,0.07877143072492629
422,2011-02-01,3.8399997706,3.8004315219640987,0.028841110017015146
423,2011-03-01,3.340000438199999,3.6147711216953065,-0.2854978221141937
424,2011-04-01,3.2200001720000007,3.5246287048711653,-0.3153556714900507
425,2011-05-01,3.319999599800001,3.628862906853776,-0.31959044567266104
426,2011-06-01,3.2199995998000013,3.6360651842101657,-0.42679272302905047
427,2011-07-01,3.0000003812,3.7316066142699342,-0.7423333716888203
428,2011-08-01,3.3800002104000004,3.6548133759279655,-0.28554030414685116
429,2011-09-01,3.0000002855999988,3.5623606716870704,-0.5730875247059577
430,2011-10-01,2.739999962,3.357845558098368,-0.6285727347172541
431,2011-11-01,2.0199998854,3.0238862696943585,-1.0146135229132447
432,2011-12-01,2.2000002864,3.110172879274875,-0.9208997314937613
433,2012-01-01,1.7999998098,2.97854116003501,-1.189268488853896
434,2012-02-01,2.0400000566000003,2.943028945643451,-0.9137560276623369
435,2012-03-01,1.8399999621999996,2.7286162203109305,-0.899343396729817
436,2012-04-01,1.419999981,2.550138527557712,-1.1408656851765984
437,2012-05-01,1.6199997898000005,2.742972024570629,-1.1336993733895147
438,2012-06-01,1.4199998858000002,2.70564642691017,-1.296373679729056
439,2012-07-01,1.9000000002000004,2.847761658134396,-0.9584887965532818
440,2012-08-01,1.7799998284000005,2.748334404531409,-0.9790617147502947
441,2012-09-01,1.2000000955999992,2.4622856459430316,-1.2730126889619184
442,2012-10-01,1.4400002479999996,2.428739748089239,-0.9994666387081257
443,2012-11-01,1.0199998854,2.1217865002238896,-1.1125137534427756
444,2012-12-01,1.5000000004,2.3354104378038305,-0.8461375760227166
445,2013-01-01,1.7999998098,2.372440993861063,-0.5831683226799489
446,2013-02-01,1.6399999616,2.129047027571257,-0.4997742045901432
447,2013-03-01,1.2400000571999996,1.9005416487734472,-0.6712687301923337
448,2013-04-01,1.019999886,1.8603841210959267,-0.8511113737148128
449,2013-05-01,1.5199998858,1.992248575272418,-0.4829758280913041
450,2013-06-01,1.4199998858000002,1.9818304619302238,-0.5725577147491097
451,2013-07-01,1.7000001912,1.9596261750577932,-0.2703531224766793
452,2013-08-01,1.5800000194,1.8736007731473117,-0.30432789236619784
