mo_yr,date,treated,synthetic_topology_augmented,gap_centered_topology_augmented
397,2009-01-01,3.099999523800001,2.8329866076464167,0.2630566803449317
398,2009-02-01,3.6399999616,3.3406250120307903,0.29541871376055706
399,2009-03-01,3.5400002482,3.6197140243559813,-0.08367001196463386
400,2009-04-01,3.11999979,3.589365843497056,-0.47332228930570874
401,2009-05-01,3.9199999808,4.145518420139737,-0.22947467514838982
402,2009-06-01,4.0199997898,4.215213837828569,-0.19917028383722135
403,2009-07-01,4.0999998092,4.2865718040826355,-0.19052823069128833
404,2009-08-01,4.279999828399999,4.2859761889604355,-0.00993259636908883
405,2009-09-01,4.2999995236,4.3427373738687525,-0.04669408607740477
406,2009-10-01,4.339999865999999,4.319679242369146,0.016364387822200843
407,2009-11-01,4.1200002674,4.094144673096241,0.02189935849510638
408,2009-12-01,4.299999714400001,4.393741766527894,-0.09769828793654556
409,2010-01-01,4.500000094800001,4.5814717316583495,-0.08542787266700147
410,2010-02-01,4.6399999616,4.616144493666005,0.01989923212534217
411,2010-03-01,4.439999867199999,4.416090564411275,0.01995306698007182
412,2010-04-01,4.220000172000001,4.178117221199355,0.03792671499199285
413,2010-05-01,4.020000361799999,4.100724693182318,-0.08468056719097161
414,2010-06-01,3.819999980800001,3.8909179748905265,-0.07487422989917825
415,2010-07-01,4.200000191200001,4.0243644982401525,0.1716794571511957
416,2010-08-01,4.279999828399999,4.023592615837558,0.252450976753789
417,2010-09-01,4.099999713599999,3.9423688539601547,0.15367462383119168
418,2010-10-01,4.140000057,3.880834075107263,0.2552097460840841
419,2010-11-01,4.1200002674,3.917863528937635,0.19818050265371223
420,2010-12-01,4.0999999044,3.9121074965180007,0.18393617207334634
421,2011-01-01,4.000000095800001,3.9647950396309657,0.031248820360382457
422,2011-02-01,3.8399997706,3.8540032036488197,-0.017959668857472355
423,2011-03-01,3.340000438199999,3.6635098558743455,-0.3274656534829994
424,2011-04-01,3.2200001720000007,3.6025146596176407,-0.38647072342629274
425,2011-05-01,3.319999599800001,3.659682428701919,-0.3436390647105707
426,2011-06-01,3.2199995998000013,3.72826872195764,-0.5122253579662912
427,2011-07-01,3.0000003812,3.6997162621088058,-0.7036721167174584
428,2011-08-01,3.3800002104000004,3.627824340987203,-0.2517803663958551
429,2011-09-01,3.0000002855999988,3.5566239479254933,-0.5605798981341472
430,2011-10-01,2.739999962,3.31320635430022,-0.5771626281088724
431,2011-11-01,2.0199998854,2.9109713174606315,-0.8949276678692843
432,2011-12-01,2.2000002864,2.9817103043192685,-0.7856662537279213
433,2012-01-01,1.7999998098,2.8968288894627845,-1.100785315471437
434,2012-02-01,2.0400000566000003,2.8873138889381975,-0.8512700681468499
435,2012-03-01,1.8399999621999996,2.6741565320526792,-0.8381128056613323
436,2012-04-01,1.419999981,2.550183228115667,-1.1341394829243197
437,2012-05-01,1.6199997898000005,2.7806770804626977,-1.1646335264713499
438,2012-06-01,1.4199998858000002,2.7195696370872744,-1.3035259870959268
439,2012-07-01,1.9000000002000004,2.866096477653303,-0.9700527132619552
440,2012-08-01,1.7799998284000005,2.7129839416310904,-0.9369403490397425
441,2012-09-01,1.2000000955999992,2.4189612021681577,-1.2229173423768112
442,2012-10-01,1.4400002479999996,2.400293688082339,-0.9642496758909922
443,2012-11-01,1.0199998854,2.073465206363115,-1.0574215567717677
444,2012-12-01,1.5000000004,2.339566895793613,-0.8435231312022657
445,2013-01-01,1.7999998098,2.4566845647615,-0.6606409907701525
446,2013-02-01,1.6399999616,2.2398357956970423,-0.6037920699056949
447,2013-03-01,1.2400000571999996,2.059027300917495,-0.8229834795261479
448,2013-04-01,1.019999886,2.0167664934968137,-1.0007228433054665
449,2013-05-01,1.5199998858,2.172284009954634,-0.6562403599632867
450,2013-06-01,1.4199998858000002,2.1452482524966876,-0.72920460250534
451,2013-07-01,1.7000001912,2.110570788325896,-0.41452683293454884
452,2013-08-01,1.5800000194,2.025509242638908,-0.44946545904756086
