embedding,dim,delay,n_points,H0_bottleneck,H0_wasserstein,H1_bottleneck,H1_wasserstein,MO_H0_n,MO_H0_maxpers,MO_H0_totalpers,MO_H0_meanpers,SYN_H0_n,SYN_H0_maxpers,SYN_H0_totalpers,SYN_H0_meanpers,MO_H1_n,MO_H1_maxpers,MO_H1_totalpers,MO_H1_meanpers,SYN_H1_n,SYN_H1_maxpers,SYN_H1_totalpers,SYN_H1_meanpers
"(3,1)",3,1,25,0.5008279085159302,3.0244647562503815,0.30986344814300537,1.197382963477928,24,2.055481433868408,17.81806281208992,0.74241928383708,24,1.554653525352478,16.193736493587494,0.6747390205661455,7,0.6197268962860107,1.1870372295379639,0.16957674707685197,7,0.4260373115539551,0.858764111995697,0.12268058742795672
"(2,1)",2,1,26,0.277116596698761,1.732754036784172,0.21492326259613037,0.6239850194344537,25,1.4472205638885498,11.123986929655075,0.444959477186203,25,1.3926331996917725,11.909094542264938,0.4763637816905975,2,0.12631350755691528,0.1819554567337036,0.0909777283668518,5,0.42984652519226074,0.7004926204681396,0.14009852409362794
