birth,death
0.0,0.07453570514917374
0.0,0.07453588396310806
0.0,0.07453624159097672
0.0,0.11785157769918442
0.0,0.11785168945789337
0.0,0.16666722297668457
0.0,0.21730563044548035
0.0,0.2173064798116684
0.0,0.23570238053798676
0.0,0.2635212242603302
0.0,0.2687416076660156
0.0,0.3205905556678772
0.0,0.33747392892837524
0.0,0.3689318001270294
0.0,0.37267783284187317
0.0,0.421637624502182
0.0,0.4972149133682251
0.0,0.542628288269043
0.0,0.6433419585227966
0.0,0.6433426141738892
0.0,0.7397447824478149
0.0,0.7453553080558777
0.0,0.9803627729415894
0.0,1.2349083423614502
0.0,1.4472205638885498
0.0,inf
