date,treated,synthetic
2009-01-01,3.099999523800001,3.0016573638454407
2009-02-01,3.6399999616,3.3589298751898355
2009-03-01,3.5400002482,3.645785260430833
2009-04-01,3.11999979,3.756569101085319
2009-05-01,3.9199999808,4.038466533845817
2009-06-01,4.0199997898,4.050593472397886
2009-07-01,4.0999998092,4.095063963823667
2009-08-01,4.279999828399999,4.188319033325536
2009-09-01,4.2999995236,4.192424499791279
2009-10-01,4.339999865999999,4.169559326031814
2009-11-01,4.1200002674,3.864394100926933
2009-12-01,4.299999714400001,4.158882748897846
2010-01-01,4.500000094800001,4.552211147565137
2010-02-01,4.6399999616,4.694292689286737
2010-03-01,4.439999867199999,4.389373875489196
2010-04-01,4.220000172000001,4.15712981431921
2010-05-01,4.020000361799999,4.053069536421662
2010-06-01,3.819999980800001,3.830304629741946
2010-07-01,4.200000191200001,3.94389686961356
2010-08-01,4.279999828399999,4.045142346181851
2010-09-01,4.099999713599999,4.024249246264933
2010-10-01,4.140000057,3.931609478765577
2010-11-01,4.1200002674,3.917879912775968
2010-12-01,4.0999999044,3.832407277524223
2011-01-01,4.000000095800001,4.051855857814744
2011-02-01,3.8399997706,3.913775257009228
2011-03-01,3.340000438199999,3.637566038624513
