mo_yr,date,ALABAMA,ALASKA,ARIZONA,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,synthetic_baseline,treated,gap_raw_baseline,gap_centered_baseline
407,2009-11-01,5.720000360800001,0.8399999620000003,5.619999791,5.519999791,2.4599998471999998,3.920000172000001,4.820000219600001,3.2999999046,3.259999847200001,4.1799999236000005,4.539999581799999,5.0000002846000005,2.0600001332,1.6999999051999994,4.360000229000001,0.03999977100000063,3.4000000948,3.0199998376000003,3.5600002292,3.239999771000001,3.1599998472,4.1200002674,2.3399997234,0.9800002101999996,7.3600004184,2.1999999526,4.4200002674,2.4599999426000005,2.840000057,4.720000360800001,0.5599998477999995,4.8000001898,2.0399999621999996,3.40000019,2.7000002864,6.080000399000001,1.4199998376000003,4.5599995616000015,2.1199999810000003,2.6999998092000004,2.4,3.140000153,3.379999542600001,2.7799999239999993,3.700000191200001,2.8399998662,3.8643941009269325,4.1200002674,0.25560616647306755,0.21691765717642641
408,2009-12-01,6.199999620199999,0.6199999808000003,5.7000003802000005,5.8800003046,2.7400001525999995,4.240000296000001,4.8399996762000015,3.3400002482,3.4400002005999997,4.580000495399999,5.1,5.5599998481999995,2.2000000477999997,2.1800002101999993,4.7000003798000005,1.1000000001999997,3.5800003999999994,3.28000021,3.7600001336,3.1799999236000005,4.039999867199999,4.299999714400001,2.820000171,1.1799998278000001,7.7799999712000005,2.3000000002,4.6800000189999995,2.4800001142,3.1600002292000005,5.340000057199999,0.5799999241999996,5.2400002472,2.079999828,3.9800001138,3.120000361999999,6.0799997336,1.740000152799999,5.0000002852000005,2.3800000189999997,3.0999998574000003,2.5599998956,3.579999828,3.9599999428000006,3.1600004191999993,4.159999561800001,3.5400000096,4.158882748897846,4.299999714400001,0.1411169655021549,0.10242845620551377
409,2010-01-01,6.360000228400001,0.7199995046000023,5.720000360800001,6.1399997717999995,3.3999995714000013,4.6799999716,4.7400002482,3.1599997529999992,3.1999998566000007,4.1199999808,5.579999733799999,6.2400002472,2.3800001147999996,2.1999998090000004,5.3200000762,1.5799997327999993,4.039999866,3.5000004763999994,4.140000390399999,3.3,4.9399996764,4.500000094800001,2.679999638000001,1.200000095,8.040000057,2.6200000286,4.860000228400001,2.3600004189999986,3.320000361799999,5.7599999429999995,0.5000000955999999,5.7199998856,2.679999971799999,3.9999996201999997,3.5600000382,6.140000342000001,1.9000001425999997,5.3999997144,2.5600003237999998,3.1199997908000006,2.5599999903999997,3.9000000948,3.9400000566000006,3.119999504400001,4.400000380000001,3.2400002475999994,4.552211147565137,4.500000094800001,-0.052211052765136046,-0.09089956206177718
410,2010-02-01,6.3400003418000015,0.8000004763999993,5.659999848199999,6.240000437000001,3.499999666600001,4.699999952400001,4.8599995620000005,2.9399994854000013,3.1400001044000003,4.239999677399998,5.359999562599999,6.2400001518,2.3799999714,2.2400000573999996,5.519999600799999,1.4999998088000002,4.2199998854,3.7400001528000004,3.9999997135999994,3.399999619000001,5.060000228,4.6399999616,2.959999561800001,1.2600001815999997,8.4000000002,2.5200001238,4.8600002280000005,2.5600004189999988,3.3199999810000005,5.840000057199999,0.560000229199999,5.6599996581999985,2.719999886,3.9999996199999988,3.5999999999999996,6.259999658199999,1.9200001236000008,5.2400002474,2.5799996380000003,2.8800001146000014,2.5800001139999997,3.9200001236,3.7799999244,3.360000038200001,4.2799995436,3.3000001909999996,4.694292689286737,4.6399999616,-0.054292727686736875,-0.09298123698337801
411,2010-03-01,6.1400000572,0.8999997144000007,5.279999734599999,6.160000322800001,3.7000003331999993,4.579999827999999,4.7200000287999995,2.7399999617999997,3.1600001332000005,3.980000019,5.1600000384,6.120000361000001,2.2800000664000004,2.2799999238,4.9,1.5200000765999997,4.039999866399999,3.7600003713999994,3.7799996380000005,3.4400003429999995,4.6800001138,4.439999867199999,2.9199996954000005,1.2799998757999997,8.6400003416,2.419999742200001,4.760000418000001,2.6799997326,3.260000419199999,5.5599999428,0.5600003245999998,5.359999753599999,2.3400000573999993,4.119999600799999,3.4999998087999993,6.219999695599999,1.8800001142000005,5.100000379800001,2.5600002292,3.099999619000001,2.6400000093999996,3.7999998092000005,3.779999639199999,3.1200002676,4.30000019,3.1599998478,4.389373875489196,4.439999867199999,0.0506259917108034,0.011937482414162252
412,2010-04-01,5.619999600999999,0.8400002482,5.0400004370000016,6.0399999618,3.5399999620000004,4.559999514200001,4.5399999622,2.5999998092,2.9999997136000003,3.959999657200001,4.6,5.7400002940000014,1.9000001425999997,2.2200001236,4.5800000192,1.6000000001999997,3.7399999618000006,3.3000001911999997,3.6000002386,3.0200000288,4.1800002098,4.220000172000001,2.8199999808000005,1.0599998953999998,8.5599995628,2.1000000474000005,4.599999714400001,2.7600000376000002,3.0999999997999996,5.219999505399999,0.19999995199999976,4.819999648799999,2.2800000667999996,3.719999885600001,3.3200002674,6.3399998673999995,1.4800000666000006,4.680000400199999,2.3200001713999994,2.9200002672,2.4999999526000005,3.4400000572,3.4399999618,2.719999695200001,3.7199999808,3.0400000573999995,4.15712981431921,4.220000172000001,0.06287035768079097,0.024181848384149822
413,2010-05-01,5.0599996572000006,0.7200002675999997,5.019999981,6.079999829199999,3.6399999618,4.379999638000001,4.540000342999999,2.4399995808000003,3.0599998470000003,3.740000200600001,4.300000380000001,5.5000002852000005,1.9199999336000002,2.020000219799999,4.4400000574,1.7799999241999993,3.6800003525999996,3.3000000948000006,3.4799998756,3.0599999426,4.279999639199999,4.020000361799999,2.7200001717999998,0.9599999427999997,8.720000171,1.9399998668,4.4399998184,2.9200003617999997,2.9399997708,5.1599996581999985,0.34000005700000013,4.5599996572000006,2.2000002385999995,3.6599995627999995,3.4400003427999994,6.4199997907999995,1.5000001435999994,4.6000001908,2.3000001904000005,2.9000002862,2.480000114,3.4000000004,3.4999995236000006,2.8800001146000014,3.7,2.7800000666000004,4.053069536421662,4.020000361799999,-0.033069174621662256,-0.0717576839183034
414,2010-06-01,4.6,0.5600001338,4.8799999238,5.8200000765999995,3.559999609400001,4.340000438399999,4.360000419199999,2.2999999046,3.1199999812000003,3.9000000476,3.919999600999999,5.219999601,1.8000001426,1.8599999429999992,4.080000019,1.620000361799999,3.5600000854000005,3.1599998472,3.219999647600001,2.7800002579999994,3.6400003418000004,3.8199999808000005,2.6199997900000005,0.9800000664000006,8.539999962,1.8199997898000007,4.200000191000001,2.8600000384,2.9399994854000013,4.759999562999999,0.3399999143999999,4.2399997718,1.939999962,3.4800003038000007,3.100000380999999,6.019999600999999,1.3199997900000007,4.0399999622,2.019999600000001,2.8399998663999995,2.4199999338,3.1799998282000006,3.260000229,2.679999638000001,3.3399997707999995,2.3399998186000004,3.830304629741946,3.8199999808000005,-0.010304648941945604,-0.04899315823858675
415,2010-07-01,4.539999867199999,0.640000057,5.200000190000001,6.320000361000001,3.660000181600001,4.4400003438,4.339999628400001,2.3599997524000003,3.2599998958,3.8000001910000005,4.3400003418000015,5.10000019,1.7599998956,1.9800001142,4.300000475200001,2.0199996956,3.4800001621999996,3.4000001907999993,3.2000000958,3.1000001909999995,4.260000132800001,4.200000191200001,2.6599997996000004,0.8599998474000001,8.7799998292,1.7799998286000003,4.4400002484000005,2.920000171800001,3.0000003807999995,4.7200001706000005,0.41999993339999975,4.300000380000001,2.1199998852000004,3.399999715399999,3.2799998279999993,6.059999658199999,1.3199999335999997,4.060000133800001,2.239999771600001,2.8200000762000004,2.3400001046,3.1999998572,3.1999999046000003,2.960000228800001,3.4999999046,2.1199998862,3.9438968696135595,4.200000191200001,0.25610332158644145,0.2174148122898003
416,2010-08-01,4.380000399200001,0.7600002291999992,5.0400002472,6.2600002282,3.5800004001999994,4.6000001912,4.3000002388,2.6199995998000007,3.3600000382,3.8599996574000004,4.020000361000001,5.080000399200001,1.8800001626,2.0399998663999996,4.420000172000001,2.459999751999999,3.3399998186000004,3.4599998473999998,3.0800000664000002,3.119999886,3.5600004191999988,4.279999828399999,2.4999999046,0.9200000760000004,8.8399999618,1.6599999906000003,4.4200002674,3.019999695200001,3.019999600000001,4.7,0.3800000189999997,4.3800001148000005,2.119999838599999,3.2799998290000003,3.2999999048,6.1600002282,1.3999998090000005,4.1000000956000004,2.1999997137999996,2.860000038,2.1799999239999996,3.2399999144,3.2600003236,3.2800004953999995,3.4599997516,2.219999886,4.045142346181851,4.279999828399999,0.23485748221814795,0.1961689729215068
