mo_yr,date,treated,synthetic_baseline,gap_centered_baseline,synthetic_author,gap_centered_author
397,2009-01-01,3.099999523800001,3.0016573638454407,0.05965365065791927,2.99800209731049,0.0591004042021323
398,2009-02-01,3.6399999616,3.3589298751898355,0.24238157711352337,3.3950848257286714,0.2020181135839497
399,2009-03-01,3.5400002482,3.645785260430833,-0.14447352152747395,3.602217671330869,-0.1051144454182478
400,2009-04-01,3.1199997899999996,3.756569101085319,-0.6752578203819606,3.672867161572228,-0.5957643938596073
401,2009-05-01,3.9199999808,4.038466533845817,-0.15715506234245802,3.972427758141659,-0.0953247996290376
402,2009-06-01,4.0199997898,4.050593472397886,-0.06928219189452745,4.0184017062661335,-0.0412989387535123
403,2009-07-01,4.0999998092,4.095063963823667,-0.033752663920308075,4.078501699849151,-0.0213989129365302
404,2009-08-01,4.279999828399999,4.188319033325536,0.052992285777822216,4.174425279532268,0.0626775265803527
405,2009-09-01,4.2999995236,4.192424499791279,0.06888651451207983,4.229450735053347,0.0276517662592745
406,2009-10-01,4.339999865999999,4.169559326031814,0.13175203067154473,4.280559429473527,0.0165434142390933
407,2009-11-01,4.1200002674,3.8643941009269325,0.21691765717642641,4.019260860416385,0.0578423846962358
408,2009-12-01,4.299999714400001,4.158882748897846,0.10242845620551377,4.244395815495905,0.0127068766167168
409,2010-01-01,4.500000094800001,4.552211147565137,-0.09089956206177718,4.58741269373007,-0.1303096212174484
410,2010-02-01,4.6399999616,4.694292689286737,-0.09298123698337801,4.693386380598802,-0.0962834412861804
411,2010-03-01,4.439999867199999,4.389373875489196,0.011937482414162252,4.345374603457743,0.0517282414548773
412,2010-04-01,4.220000172000001,4.15712981431921,0.024181848384149822,4.113426513333467,0.0636766363791549
413,2010-05-01,4.020000361799999,4.053069536421662,-0.0717576839183034,4.028271724563237,-0.0511683850506166
414,2010-06-01,3.8199999808000005,3.830304629741946,-0.04899315823858675,3.824195947312088,-0.0470929887994667
415,2010-07-01,4.200000191200001,3.9438968696135595,0.2174148122898003,3.983296943369632,0.1738062255429905
416,2010-08-01,4.279999828399999,4.045142346181851,0.1961689729215068,4.042357812683117,0.1947449934295033
417,2010-09-01,4.099999713599999,4.024249246264933,0.03706195803842482,4.02585435526913,0.0312483360434898
418,2010-10-01,4.140000057,3.9316094787655773,0.1697020689377815,3.947891851596404,0.1492111831162172
419,2010-11-01,4.1200002674,3.9178799127759674,0.16343184532739152,3.926653251534266,0.1504499935783553
420,2010-12-01,4.0999999044,3.832407277524223,0.22890411757913554,3.816223800566832,0.2408790815457885
421,2011-01-01,4.000000095800001,4.0518558578147434,-0.09054427131138376,3.981618622204597,-0.0245155486919744
422,2011-02-01,3.8399997705999995,3.9137752570092283,-0.11246399570586996,3.8244557006027984,-0.0273529522901777
423,2011-03-01,3.340000438199999,3.6375660386245126,-0.3362541097211549,3.5557641652479526,-0.2586607493353326
424,2011-04-01,3.2200001720000007,3.515075737602669,-0.3337640748993096,3.44539476481998,-0.2682916151073582
425,2011-05-01,3.319999599800001,3.627186910514017,-0.3458758200106573,3.500798993067733,-0.2236964155551109
426,2011-06-01,3.2199995998000013,3.5588253477712306,-0.37751425726787047,3.5127071971492505,-0.3356046196366281
427,2011-07-01,3.0000003811999996,3.607358434693442,-0.6460465627900838,3.583996025866134,-0.6268926669535133
428,2011-08-01,3.3800002104000004,3.558593071999629,-0.21728137089626975,3.4557443881976027,-0.118641200084981
429,2011-09-01,3.0000002855999988,3.5867556374416094,-0.6254438611382518,3.4693108071003,-0.5122075437876796
430,2011-10-01,2.7399999619999997,3.323826948053327,-0.6225154953499683,3.2385016253486514,-0.5413986856360304
431,2011-11-01,2.0199998854,2.8873927126951866,-0.9060813365918279,2.79758252216064,-0.8204796590480188
432,2011-12-01,2.2000002864,2.921187679173898,-0.7598759020705395,2.8210191084749257,-0.6639158443623046
433,2012-01-01,1.7999998098,2.818019203420816,-1.0567079029174569,2.775024912991808,-1.0179221254791868
434,2012-02-01,2.0400000566000003,2.7625655185957063,-0.7612539712923472,2.706773433399001,-0.7096703990863793
435,2012-03-01,1.8399999621999994,2.542518532448725,-0.7412070795453667,2.55156850372048,-0.754465563807859
436,2012-04-01,1.4199999810000001,2.3934330091977887,-1.0121215374944297,2.4208192281316685,-1.0437162694190472
437,2012-05-01,1.6199997898000005,2.5243823788527053,-0.943071098349346,2.598401708271529,-1.0212989407589073
438,2012-06-01,1.4199998858000002,2.5145044066929243,-1.1331930301895652,2.6014184915438565,-1.224315628031235
439,2012-07-01,1.9000000002000004,2.6912687714198946,-0.8299572805165354,2.820559441928072,-0.9634564640154506
440,2012-08-01,1.7799998284000003,2.7175341600112297,-0.9762228409078706,2.8469530201216786,-1.1098502140090571
441,2012-09-01,1.2000000955999992,2.5391085196675256,-1.3777969333641675,2.6489311091172825,-1.491828035804662
442,2012-10-01,1.4400002479999996,2.4571666914206762,-1.0558549527173178,2.6254146618911087,-1.228311436178488
443,2012-11-01,1.0199998853999999,2.185219775216769,-1.2039083991134103,2.304875174624176,-1.327772311511555
444,2012-12-01,1.5000000004,2.36201040241834,-0.9006989113149813,2.4559841093530475,-0.9988811312404262
445,2013-01-01,1.7999998098,2.564724796012383,-0.8034134955090242,2.6497501960257748,-0.8926474085131535
446,2013-02-01,1.6399999616,2.3631234352651687,-0.7618119829618097,2.448431509332069,-0.851328570019448
447,2013-03-01,1.2400000571999996,2.2087204525926682,-1.0074089046893098,2.3420778816265737,-1.1449748467139529
448,2013-04-01,1.019999886,2.175747302848806,-1.1944359261454471,2.2857541393254754,-1.3086512756128543
449,2013-05-01,1.5199998858,2.320002677521985,-0.8386913010186261,2.417582602298501,-0.94047973878588
450,2013-06-01,1.4199998858000002,2.3479356963784292,-0.9666243198750701,2.405314858393007,-1.0282119948803856
451,2013-07-01,1.7000001912,2.2879109850874912,-0.6265993031841324,2.358521771297703,-0.7014186023850819
452,2013-08-01,1.5800000194,2.257062521899071,-0.7157510117957122,2.3284715324173835,-0.7913685353047624
