birth,death
0.0,0.24152271449565887
0.0,0.34156298637390137
0.0,0.397909551858902
0.0,0.41499799489974976
0.0,0.4377986788749695
0.0,0.5527707934379578
0.0,0.5773510336875916
0.0,0.5892556309700012
0.0,0.6100990176200867
0.0,0.6191381216049194
0.0,0.6790508031845093
0.0,0.6892035007476807
0.0,0.7852811217308044
0.0,0.8113772869110107
0.0,0.8198915123939514
0.0,0.8660253286361694
0.0,0.9128713607788086
0.0,1.20646333694458
0.0,1.2326585054397583
0.0,1.3447409868240356
0.0,1.582015872001648
0.0,1.8219358921051025
0.0,inf
