date,treated,synthetic,treated_z,synthetic_z
2009-01-01,3.099999523800001,2.99800209731049,-2.4244140474090234,-2.8835153551585244
2009-02-01,3.6399999616,3.3950848257286714,-1.0013879369227832,-1.7140810194875298
2009-03-01,3.5400002482,3.602217671330869,-1.264910321810266,-1.104061382880848
2009-04-01,3.11999979,3.672867161572228,-2.3717087178814666,-0.8959940614563608
2009-05-01,3.9199999808,3.972427758141659,-0.26352309392089196,-0.01376871602796728
2009-06-01,4.0199997898,4.0184017062661335,-4.5710528724408514e-07,0.1216275367813401
2009-07-01,4.0999998092,4.078501699849151,0.21081810613404398,0.2986259077494422
2009-08-01,4.279999828399999,4.174425279532268,0.6851598089911308,0.5811270584007806
2009-09-01,4.2999995236,4.229450735053347,0.7378636338015628,0.7431805863359451
2009-10-01,4.339999865999999,4.280559429473527,0.8432737921627134,0.8936989993235059
2009-11-01,4.1200002674,4.019260860416385,0.26352394162603315,0.12415780136106927
2009-12-01,4.299999714400001,4.244395815495905,0.7378641366037161,0.7871948155332597
2010-01-01,4.500000094800001,4.58741269373007,1.2649114193353461,1.7974017230955028
2010-02-01,4.6399999616,4.693386380598802,1.6338434645252455,2.1095010898839437
2010-03-01,4.439999867199999,4.345374603457743,1.1067969354697933,1.0845838817548736
2010-04-01,4.220000172000001,4.113426513333467,0.527046830369762,0.40148174390772423
2010-05-01,4.020000361799999,4.028271724563237,1.050247072713075e-06,0.15069537948584158
2010-06-01,3.819999980800001,3.824195947312088,-0.5270462340656927,-0.45032099296364375
2010-07-01,4.200000191200001,3.983296943369632,0.47434225293724497,0.018241737957262187
2010-08-01,4.279999828399999,4.042357812683117,0.6851598089911308,0.1921798206961051
2010-09-01,4.099999713599999,4.02585435526913,0.21081785420591986,0.14357607045473203
2010-10-01,4.140000057,3.947891851596404,0.3162280152023067,-0.08602854884703222
2010-11-01,4.1200002674,3.926653251534266,0.26352394162603315,-0.1485776006609694
2010-12-01,4.0999999044,3.816223800566832,0.21081835700807308,-0.47379948111156417
2011-01-01,4.000000095800001,3.981618622204597,-0.05270427875343667,0.013298973499855732
2011-02-01,3.8399997706,3.8244557006027984,-0.4743421599623752,-0.44955600271042767
2011-03-01,3.340000438199999,3.5557641652479526,-1.791956101405909,-1.2408699649163104
