embedding,dim,delay,n_points,H0_bottleneck,H0_wasserstein,H1_bottleneck,H1_wasserstein,MO_H0_n,MO_H0_maxpers,MO_H0_totalpers,MO_H0_meanpers,SYN_H0_n,SYN_H0_maxpers,SYN_H0_totalpers,SYN_H0_meanpers,MO_H1_n,MO_H1_maxpers,MO_H1_totalpers,MO_H1_meanpers,SYN_H1_n,SYN_H1_maxpers,SYN_H1_totalpers,SYN_H1_meanpers
"(2,1)",2,1,26,0.16352546215057373,1.177845124155283,0.13524991273880005,0.49335284072970714,25,1.4472205638885498,11.123986929655075,0.444959477186203,25,1.3189771175384521,11.08467374369502,0.44338694974780085,2,0.12631350755691528,0.1819554567337036,0.0909777283668518,4,0.2704998254776001,0.5222674310207367,0.13056685775518417
"(3,1)",3,1,25,0.7201939821243286,3.2197459042072296,0.30986344814300537,1.131237277585226,24,2.055481433868408,17.81806281208992,0.74241928383708,24,1.3352874517440796,15.640926003456116,0.6517052501440048,7,0.6197268962860107,1.1870372295379639,0.16957674707685197,5,0.3666408061981201,0.6625221371650696,0.1325044274330139
"(4,1)",4,1,24,1.1714473962783813,5.116797834634781,0.13984930515289307,0.7020351660354079,23,2.786376953125,23.950746417045593,1.0413368007411128,23,1.6149295568466187,19.650081664323807,0.8543513767097307,6,0.19007360935211182,0.678368330001831,0.1130613883336385,3,0.27969861030578613,0.34740567207336426,0.11580189069112141
"(3,2)",3,2,23,0.6264439821243286,2.491928219795227,0.043697088956832886,0.11965265932699598,22,1.8219358921051025,17.533922031521797,0.7969964559782635,22,1.195491909980774,16.016615107655525,0.7280279594388875,3,0.06759530305862427,0.09859955310821533,0.03286651770273844,2,0.08739417791366577,0.11624354124069214,0.05812177062034607
