date,treated,synthetic
2009-01-01,3.099999523800001,2.99800209731049
2009-02-01,3.6399999616,3.3950848257286714
2009-03-01,3.5400002482,3.602217671330869
2009-04-01,3.11999979,3.672867161572228
2009-05-01,3.9199999808,3.972427758141659
2009-06-01,4.0199997898,4.0184017062661335
2009-07-01,4.0999998092,4.078501699849151
2009-08-01,4.279999828399999,4.174425279532268
2009-09-01,4.2999995236,4.229450735053347
2009-10-01,4.339999865999999,4.280559429473527
2009-11-01,4.1200002674,4.019260860416385
2009-12-01,4.299999714400001,4.244395815495905
2010-01-01,4.500000094800001,4.58741269373007
2010-02-01,4.6399999616,4.693386380598802
2010-03-01,4.439999867199999,4.345374603457743
2010-04-01,4.220000172000001,4.113426513333467
2010-05-01,4.020000361799999,4.028271724563237
2010-06-01,3.819999980800001,3.824195947312088
2010-07-01,4.200000191200001,3.983296943369632
2010-08-01,4.279999828399999,4.042357812683117
2010-09-01,4.099999713599999,4.02585435526913
2010-10-01,4.140000057,3.947891851596404
2010-11-01,4.1200002674,3.926653251534266
2010-12-01,4.0999999044,3.816223800566832
2011-01-01,4.000000095800001,3.981618622204597
2011-02-01,3.8399997706,3.8244557006027984
2011-03-01,3.340000438199999,3.5557641652479526
