embedding,h1_wasserstein_baseline,h1_wasserstein_topology_augmented,h1_absolute_reduction,h1_percent_reduction,treated_h1_source_file,baseline_h1_source_file,topology_augmented_h1_source_file
"(2,1)",0.6239850194344538,0.24256844692112983,0.381416572513324,61.125918192558416,/home/jupyter/topological fit check on scm/outputs_topology_augmented_tda_check/treated_H1_diagram_2_1.csv,/home/jupyter/topological fit check on scm/outputs_topology_augmented_tda_check/baseline_H1_diagram_2_1.csv,/home/jupyter/topological fit check on scm/outputs_topology_augmented_tda_check/topology_augmented_H1_diagram_2_1.csv
"(3,1)",1.1973829634779285,0.6467851413792702,0.5505978220986583,45.983435449873724,/home/jupyter/topological fit check on scm/outputs_topology_augmented_tda_check/treated_H1_diagram_3_1.csv,/home/jupyter/topological fit check on scm/outputs_topology_augmented_tda_check/baseline_H1_diagram_3_1.csv,/home/jupyter/topological fit check on scm/outputs_topology_augmented_tda_check/topology_augmented_H1_diagram_3_1.csv
