,0
MISSOURI,1.185979284422379
NEBRASKA,1.0695339786256866
ALASKA,0.9045132419377827
SOUTH DAKOTA,0.8766764918283682
VERMONT,0.8731579886209813
MAINE,0.798185657203257
KENTUCKY,0.6899835688238714
ALABAMA,0.649901301220028
PENNSYLVANIA,0.6219173067503768
TEXAS,0.5788343286383442
KANSAS,0.571911976969941
TENNESSEE,0.51818034222666
INDIANA,0.4824558194235389
ARIZONA,0.4572443949255038
IOWA,0.44988628701127337
ILLINOIS,0.43627084051619075
WISCONSIN,0.4351509406604619
NORTH DAKOTA,0.42952885336998137
HAWAII,0.3890859287828555
OHIO,0.38432997500978605
MINNESOTA,0.3779637205087539
MONTANA,0.37657870576692504
NORTH CAROLINA,0.3754413645906253
WEST VIRGINIA,0.3751866318356194
WYOMING,0.3620235795182361
MARYLAND,0.3609643449214601
UTAH,0.35089405023841214
VIRGINIA,0.3348686475462731
WASHINGTON,0.3017709085023953
NEW YORK,0.2836138539648627
DELAWARE,0.28106762689229065
IDAHO,0.27618402038676504
OREGON,0.2760488343701664
OKLAHOMA,0.25927282827856096
CALIFORNIA,0.25562632646524625
RHODE ISLAND,0.22230161371567944
LOUISIANA,0.20458038120339508
NEW HAMPSHIRE,0.19153673237939486
NEW JERSEY,0.1533762624218935
CONNECTICUT,0.09313399849694816
COLORADO,0.07904246311513413
NEW MEXICO,0.0655543244697877
NEVADA,0.05429445533555256
