mo_yr,date,treated_pre,synthetic_pre,treated_pre_z,synthetic_pre_z
397,2009-01-01,3.099999523800001,2.9948747237225564,-2.4244140474090234,-2.979570876687512
398,2009-02-01,3.6399999616,3.353949398809008,-1.0013879369227832,-1.8903804814791862
399,2009-03-01,3.5400002482,3.6386803105810643,-1.264910321810266,-1.0266989248604521
400,2009-04-01,3.11999979,3.748266875254541,-2.3717087178814666,-0.6942871955802148
401,2009-05-01,3.9199999808,4.031192576434103,-0.26352309392089196,0.16391856958037884
402,2009-06-01,4.0199997898,4.0451641117890755,-4.5710528724408514e-07,0.20629878509205696
403,2009-07-01,4.0999998092,4.088880820554775,0.21081810613404398,0.3389057958378168
404,2009-08-01,4.279999828399999,4.181529827599724,0.6851598089911308,0.6199403983885295
405,2009-09-01,4.2999995236,4.186369817631034,0.7378636338015628,0.6346216639323541
406,2009-10-01,4.339999865999999,4.164498628899516,0.8432737921627134,0.5682792278014213
407,2009-11-01,4.1200002674,3.861263775531164,0.26352394162603315,-0.35153080809624987
408,2009-12-01,4.299999714400001,4.156302981843103,0.7378641366037161,0.5434191619830429
409,2010-01-01,4.500000094800001,4.54913721315545,1.2649114193353461,1.7350132824858002
410,2010-02-01,4.6399999616,4.690779163542262,1.6338434645252455,2.1646594330608777
411,2010-03-01,4.439999867199999,4.388199742410422,1.1067969354697933,1.2468375365287754
412,2010-04-01,4.220000172000001,4.153906896401663,0.527046830369762,0.5361510547340804
413,2010-05-01,4.020000361799999,4.050835009900222,1.050247072713075e-06,0.22350046536477136
414,2010-06-01,3.819999980800001,3.8290871194879554,-0.5270462340656927,-0.44913308178415795
415,2010-07-01,4.200000191200001,3.943363698479515,0.47434225293724497,-0.10249501212662895
416,2010-08-01,4.279999828399999,4.044031355187113,0.6851598089911308,0.2028627655212828
417,2010-09-01,4.099999713599999,4.023061839021359,0.21081785420591986,0.1392553958441935
418,2010-10-01,4.140000057,3.9294897491422196,0.3162280152023067,-0.14457921747514216
419,2010-11-01,4.1200002674,3.9151464767025512,0.26352394162603315,-0.18808703259293558
420,2010-12-01,4.0999999044,3.8297854429569904,0.21081835700807308,-0.4470148393460402
421,2011-01-01,4.000000095800001,4.046008754965997,-0.05270427875343667,0.20886086284220595
422,2011-02-01,3.8399997706,3.90689579651361,-0.4743421599623752,-0.21311403181967462
423,2011-03-01,3.340000438199999,3.632438325729133,-1.791956101405909,-1.0456328971494266
